instance,n,algorithm,initial_len,initial_gap_pct,2opt_len,2opt_gap_pct,3opt_len,3opt_gap_pct,init_time,2opt_time,3opt_time
Tnm157.tsp,157,HullRot-LPQI,2536992.3794855373,,2518231.5761985527,,2518231.5761985527,,2.3671243999851868,0.026729000004706904,0.6217529000132345
Tnm160.tsp,160,LPQI,2598613.155652956,,2579371.5696665067,,2579371.5696665067,,0.34783680000691675,0.02532080002129078,0.6307883999834303
Tnm160.tsp,160,MHLPQI,2533010.1654304685,,2533010.1654304685,,2533010.1654304685,,0.00892079999903217,0.008597899985034019,0.6189541000057943
Tnm160.tsp,160,HullRot-LPQI,2598613.155652956,,2579371.5696665067,,2579371.5696665067,,2.505903900018893,0.025878399988869205,0.6156229000189342
Tnm163.tsp,163,LPQI,2565953.2196017886,,2565953.2196017886,,2565953.2196017886,,0.3715678000007756,0.009163500013528392,0.6520270000037272
Tnm163.tsp,163,MHLPQI,2560015.0455045793,,2560015.039592766,,2560015.039592766,,0.008846300013829023,0.018569599982583895,0.7168320000055246
Tnm163.tsp,163,HullRot-LPQI,2562245.745180729,,2561420.436501819,,2561420.436501819,,2.5860293000005186,0.017516399995656684,0.6516860999981873
Tnm166.tsp,166,LPQI,2672571.654672743,,2654583.7209422532,,2654583.7209422532,,0.3885957000020426,0.027585700008785352,0.6896167999948375
Tnm166.tsp,166,MHLPQI,2608355.265131971,,2608117.957901582,,2608117.957901582,,0.009054499998455867,0.06067810000968166,0.6984063000127207
Tnm166.tsp,166,HullRot-LPQI,2672571.654672743,,2654583.7209422532,,2654583.7209422532,,2.723580799996853,0.02752250002231449,0.6915809999918565
Tnm169.tsp,169,LPQI,2734369.665704544,,2715945.961125259,,2715945.961125259,,0.41746719999355264,0.02822440001182258,0.7213137999933679
Tnm169.tsp,169,MHLPQI,2680746.1201023674,,2680746.1201023674,,2680746.1201023674,,0.009958700014976785,0.009806299989577383,0.7283240999968257
Tnm169.tsp,169,HullRot-LPQI,2734369.665704544,,2715945.961125259,,2715945.961125259,,2.9121559000050183,0.03416290000313893,0.7451168000116013
Tnm172.tsp,172,LPQI,2796207.731156864,,2796207.731156864,,2796207.731156864,,0.43552440000348724,0.009721900016302243,0.7603723999927752
Tnm172.tsp,172,MHLPQI,2734218.9075457733,,2734218.9075457733,,2734218.9075457733,,0.009967499994672835,0.011166199983563274,0.7671733000024687
Tnm172.tsp,172,HullRot-LPQI,2796207.731156864,,2796207.731156864,,2796207.731156864,,3.07493770000292,0.010123499989276752,0.7812167000083718
Tnm175.tsp,175,LPQI,2858094.2743717446,,2858094.2743717446,,2858094.2743717446,,0.45214050001231954,0.01011650002328679,0.8160729999945033
Tnm175.tsp,175,MHLPQI,2798878.622376644,,2798878.622376644,,2798878.622376644,,0.011096000001998618,0.01153729998623021,0.8115731000143569
Tnm175.tsp,175,HullRot-LPQI,2858094.2743717446,,2858094.2743717446,,2858094.2743717446,,3.3451082999818027,0.01023640000494197,0.8241855000087526
Tnm178.tsp,178,LPQI,2920022.894932777,,2899862.3869890026,,2899862.3869890026,,0.5028230999887455,0.03177149998373352,0.8583058000076562
Tnm178.tsp,178,MHLPQI,2839884.064104839,,2839884.064104839,,2839884.064104839,,0.012619099987205118,0.015775499981828034,0.856934099982027
Tnm178.tsp,178,HullRot-LPQI,2920022.894932777,,2899862.3869890026,,2899862.3869890026,,3.3842101999907754,0.03189160002511926,0.8472113000170793
Tnm181.tsp,181,LPQI,2981991.585147823,,2961384.6731031113,,2961384.6731031113,,0.49956930000917055,0.03258790000109002,0.8927062999864575
Tnm181.tsp,181,MHLPQI,2991089.672315909,,2945683.392567089,,2945683.392567089,,0.010704899992560968,0.022422999987611547,0.896212599996943
Tnm181.tsp,181,HullRot-LPQI,2981991.585147823,,2961384.6731031113,,2961384.6731031113,,3.553658999997424,0.03287190000992268,0.8904819999879692
Tnm184.tsp,184,LPQI,3043991.9655492967,,3022937.052154082,,3022937.052154082,,0.5286629000038374,0.03451559998211451,0.9429003999975976
Tnm184.tsp,184,MHLPQI,2962103.99014428,,2961446.737623002,,2961446.737623002,,0.01168840000173077,0.02327129998593591,0.9468179999967106
Tnm184.tsp,184,HullRot-LPQI,3043991.9655492967,,3022937.052154082,,3022937.052154082,,3.7285022999858484,0.034516100015025586,0.937021999998251
Tnm187.tsp,187,LPQI,3106027.849344147,,3106027.849344147,,3106027.849344147,,0.5532254999852739,0.011755500017898157,0.9902603999944404
Tnm187.tsp,187,MHLPQI,3023616.561402122,,3023616.561402122,,3023616.561402122,,0.011590899986913428,0.012191799993161112,0.9932044000015594
Tnm187.tsp,187,HullRot-LPQI,3106027.849344147,,3106027.849344147,,3106027.849344147,,3.9081604999955744,0.011566300003323704,0.9946430000127293
Tnm190.tsp,190,LPQI,3168093.1535576945,,3168093.1535576945,,3168093.1535576945,,0.578396500000963,0.01204699999652803,1.0519653000228573
Tnm190.tsp,190,MHLPQI,3095873.1892512445,,3095873.1892512445,,3095873.1892512445,,0.011759900022298098,0.014154100004816428,1.0515405999904033
Tnm190.tsp,190,HullRot-LPQI,3168093.1535576945,,3168093.1535576945,,3168093.1535576945,,4.117634900001576,0.01199199998518452,1.0468084999884013
Tnm193.tsp,193,LPQI,3179576.4100552127,,3151113.864868437,,3151113.864868437,,0.6110034000012092,0.03785399999469519,1.095094300020719
Tnm193.tsp,193,MHLPQI,3228077.146375467,,3069458.1883651232,,3069458.1883651232,,0.012106599984690547,0.041579000011552125,1.088870199979283
Tnm193.tsp,193,HullRot-LPQI,3179576.4100552127,,3151113.864868437,,3151113.864868437,,4.2859464999928605,0.03681530000176281,1.084412299998803
Tnm196.tsp,196,LPQI,3241751.209830823,,3212712.358279404,,3212712.358279404,,0.6426454999891575,0.0382028000021819,1.1430978999997023
Tnm196.tsp,196,MHLPQI,3291783.989099262,,3214115.864579932,,3214115.864579932,,0.012763500009896234,0.026890400011325255,1.1525787000136916
Tnm196.tsp,196,HullRot-LPQI,3241751.209830823,,3212712.358279404,,3212712.358279404,,4.590460700012045,0.037997800012817606,1.142035600001691
Tnm199.tsp,199,LPQI,3303957.928201977,,3274344.835604457,,3274344.835604457,,0.6773361999948975,0.03980180001235567,1.212050600006478
Tnm199.tsp,199,MHLPQI,3223055.8772539427,,3223055.7316083475,,3223055.7316083475,,0.01321600002120249,0.03101580002112314,1.2091151000058744
Tnm199.tsp,199,HullRot-LPQI,3303957.928201977,,3274344.835604457,,3274344.835604457,,4.716893400007393,0.04035769999609329,1.2055773999891244
Tnm52.tsp,52,LPQI,586513.4084706563,,585790.0046888003,,585790.0046888003,,0.011428300000261515,0.001711699995212257,0.019221299997298047
Tnm52.tsp,52,MHLPQI,586513.4084706563,,585790.0046888003,,585790.0046888003,,0.0010537999914959073,0.0017297000158578157,0.022310600004857406
