inst,n,alg,len,gap,init_t,lk_t
Tnm190.tsp,190,LPQI,3122127.5402951366,,0.49604299999191426,0.007428400014759973
Tnm190.tsp,190,MHLPQI,3095873.1892512445,,0.011814099998446181,0.007547200017143041
Tnm190.tsp,190,HullRot,3122127.5402951366,,0.9645223999978043,0.007369300001300871
Tnm193.tsp,193,LPQI,3146251.677552576,,0.5061378999962471,0.007379099988611415
Tnm193.tsp,193,MHLPQI,3069458.1883651232,,0.012268199992831796,0.0076880000124219805
Tnm193.tsp,193,HullRot,3144549.9743024698,,1.0113329000014346,0.007767699979012832
Tnm196.tsp,196,LPQI,3206789.5715525523,,0.5159679999924265,0.007253100018715486
Tnm196.tsp,196,MHLPQI,3214115.864579932,,0.013268899987451732,0.007492000004276633
Tnm196.tsp,196,HullRot,3197693.3513527866,,1.033515899995109,0.00787040000432171
Tnm199.tsp,199,LPQI,3245435.2549098,,0.5490472000092268,0.007505200017476454
Tnm199.tsp,199,MHLPQI,3223055.7316083475,,0.013551599986385554,0.007720499997958541
Tnm199.tsp,199,HullRot,3222466.837257192,,1.0839722999953665,0.007467599993105978
Tnm52.tsp,52,LPQI,573246.849848064,,0.010240599978715181,0.002328800008399412
Tnm52.tsp,52,MHLPQI,585790.0046888003,,0.0010874999861698598,0.0022773999953642488
Tnm52.tsp,52,HullRot,573246.849848064,,0.021901999978581443,0.002278300002217293
Tnm55.tsp,55,LPQI,623507.5477154516,,0.012532199994893745,0.0033759999787434936
Tnm55.tsp,55,MHLPQI,647610.4714716113,,0.0011177999840583652,0.002393799979472533
Tnm55.tsp,55,HullRot,624903.6935643001,,0.02521819999674335,0.0023948000161908567
Tnm58.tsp,58,LPQI,680298.3745986205,,0.014837199996691197,0.002746599988313392
Tnm58.tsp,58,MHLPQI,699769.8067525735,,0.0017142000142484903,0.0027516999980434775
Tnm58.tsp,58,HullRot,680298.3745986205,,0.02843069998198189,0.0025508999824523926
Tnm61.tsp,61,LPQI,747896.0519163734,,0.01675090001663193,0.0029107999871484935
Tnm61.tsp,61,MHLPQI,746856.4823132508,,0.0014126999885775149,0.0025698000099509954
Tnm61.tsp,61,HullRot,747896.0519163734,,0.03449279998312704,0.002564499998698011
Tnm64.tsp,64,LPQI,794124.0024942702,,0.020956699998350814,0.002760100003797561
Tnm64.tsp,64,MHLPQI,809868.1209088021,,0.0019594999903347343,0.0027108000067528337
Tnm64.tsp,64,HullRot,794123.4086563457,,0.038095700001576915,0.0026965999859385192
Tnm67.tsp,67,LPQI,863378.4869453632,,0.02302269998472184,0.0028381999873090535
Tnm67.tsp,67,MHLPQI,857749.3015889117,,0.0018994999991264194,0.0029326999792829156
Tnm67.tsp,67,HullRot,863378.4869453632,,0.043629399995552376,0.002810900012264028
Tnm70.tsp,70,LPQI,925589.1117119717,,0.02557989998604171,0.002946599997812882
Tnm70.tsp,70,MHLPQI,892386.3789327252,,0.0017022000101860613,0.002945999993244186
Tnm70.tsp,70,HullRot,925589.1117119717,,0.05054980001295917,0.002976900024805218
Tnm73.tsp,73,LPQI,932916.8308571698,,0.028574800002388656,0.0030387000006157905
Tnm73.tsp,73,MHLPQI,945153.4675843398,,0.001927900011651218,0.0032010000140871853
Tnm73.tsp,73,HullRot,932916.8308571698,,0.05730129999574274,0.0030744000105187297
Tnm76.tsp,76,LPQI,979728.6104778142,,0.03273160001845099,0.0033639000030234456
Tnm76.tsp,76,MHLPQI,996315.1972582773,,0.002216599998064339,0.0031328999903053045
Tnm76.tsp,76,HullRot,979727.9817745322,,0.06606400001328439,0.003114799998002127
Tnm79.tsp,79,LPQI,1035683.681748522,,0.03645489999325946,0.0032467999844811857
Tnm79.tsp,79,MHLPQI,1018596.5889062587,,0.002207399986218661,0.003221200022380799
Tnm79.tsp,79,HullRot,1035683.681748522,,0.07058860000688583,0.0031912999984342605
Tnm82.tsp,82,LPQI,1100410.622491393,,0.04069240001263097,0.003316699992865324
Tnm82.tsp,82,MHLPQI,1101107.4534632387,,0.002338399994187057,0.003342599986353889
Tnm82.tsp,82,HullRot,1100410.622491393,,0.0793476999970153,0.003372300008777529
Tnm85.tsp,85,LPQI,1161947.8375586625,,0.046211999986553565,0.003417300002183765
Tnm85.tsp,85,MHLPQI,1156325.3743011875,,0.002605799993034452,0.003522799990605563
Tnm85.tsp,85,HullRot,1161947.8375586625,,0.08800879999762401,0.0034488000092096627
Tnm88.tsp,88,LPQI,1236654.764263476,,0.05029650000506081,0.0035561000113375485
Tnm88.tsp,88,MHLPQI,1217298.6010248933,,0.002767199999652803,0.0035069000150542706
Tnm88.tsp,88,HullRot,1236654.764263476,,0.10414800001308322,0.0037272000045049936
Tnm91.tsp,91,LPQI,1295019.593158891,,0.10150290001183748,0.0039459999825339764
Tnm91.tsp,91,MHLPQI,1292731.2603560311,,0.0029329999815672636,0.003666299977339804
Tnm91.tsp,91,HullRot,1297094.34697028,,0.10907149998820387,0.004461900010937825
Tnm94.tsp,94,LPQI,1319713.4349858921,,0.08967000001575798,0.004959400015650317
Tnm94.tsp,94,MHLPQI,1335194.160150806,,0.004573599988361821,0.003685800009407103
Tnm94.tsp,94,HullRot,1319713.4349858921,,0.12085009997827001,0.0038391000125557184
Tnm97.tsp,97,LPQI,1370945.877796115,,0.06586100001004525,0.003902700002072379
Tnm97.tsp,97,MHLPQI,1347538.34700983,,0.0032107999722938985,0.0038256999978329986
Tnm97.tsp,97,HullRot,1370945.877796115,,0.13269599998602644,0.003876899980241433
